id,path,question,a,b,c,d,answer
train_0027,train/train_0027.jpg,이 사진에 보이는 들판에 피어 있는 꽃의 색상이 아닌 것은 무엇인가요?,분홍색,빨간색,노란색,파란색,d
train_0028,train/train_0028.jpg,이 사진에서 볼 수 있는 장소는 어디인가요?,해변,공원,호수,산,a
train_0029,train/train_0029.jpg,이 사진에서 보이는 자연 환경은 무엇인가요?,사막과 오아시스,도시와 건물,산과 들판,바다와 해변,c
train_0030,train/train_0030.jpg,이 사진에서 보이는 도로의 제한 속도는 얼마인가요?,40km/h,30km/h,50km/h,20km/h,b
train_0031,train/train_0031.jpg,이 사진에서 보이는 물가에 반사된 것은 무엇인가요?,자동차와 도로,산과 들판,나무와 건물,사람과 동물,c
train_0032,train/train_0032.jpg,이 사진에서 볼 수 있는 것은 무엇인가요?,밤에 조명이 켜진 산책로,낮에 붐비는 공원,눈 내리는 겨울 풍경,해변가의 일출,a
train_0033,train/train_0033.jpg,이 음식 중 매운 국물 요리는 무엇인가요?,불고기,비빔밥,된장찌개,탄탄멘,d
train_0034,train/train_0034.jpg,사진 속 접시 위에 있는 음식은 무엇인가요?,샌드위치,과일,빵,꽃 모양의 케이크,d
train_0035,train/train_0035.jpg,이 사진 속 장소는 무엇인가요?,암벽 등반 체육관,수영장,헬스장,요가 스튜디오,a
train_0036,train/train_0036.jpg,사진 속 고양이가 긁고 있는 물체는 무엇인가요?,철제 울타리,바위,플라스틱 상자,나무 그루터기,d
train_0037,train/train_0037.jpg,사진 속 병에 적힌 술 이름은 무엇인가요?,한라산,참이슬,처음처럼,진로,b
train_0038,train/train_0038.jpg,이 사진에 보이는 음식은 무엇인가요?,라면,초밥,떡볶이,김밥,b
train_0039,train/train_0039.jpg,이 사진에 보이는 음식점에서 주로 판매하는 음식은 무엇인가요?,햄버거,치킨,피자,떡볶이,d
train_0040,train/train_0040.jpg,사진 속 전자 부품 중에 사용자가 누르고 있는 것은 무엇인가요?,LED,트랜지스터,저항,버튼,d
train_0041,train/train_0041.jpg,다음 중 이미지에 보이는 물건은 무엇인가요?,전기 스위치 버튼,자동차 타이어,휴대폰 케이스,커피 머신,a
train_0042,train/train_0042.jpg,이 사진에 보이는 기념탑에 적힌 한자는 무엇인가요?,자유,행복,평화,충효,d
train_0043,train/train_0043.jpg,이 사진에 보이는 운동장은 무엇을 주로 하는 곳일까요?,테니스,농구,야구,축구,d
train_0044,train/train_0044.jpg,이 사진에서 볼 수 있는 자연 풍경은 무엇인가요?,바다와 해변,산 정상의 일출,호수와 나무가 있는 공원,사막의 모래언덕,c
train_0045,train/train_0045.jpg,이 사진 속 나무들의 잎 색깔이 주로 무엇인가요?,노란색,빨간색,초록색,갈색,a
train_0046,train/train_0046.jpg,이 사진에서 볼 수 있는 꽃은 무엇인가요?,장미꽃,해바라기,벚꽃,튤립,c
train_0047,train/train_0047.jpg,이미지에 보이는 하얀색 배가 물 위에서 하고 있는 활동은 무엇인가요?,수영하기,경주하기,관광 유람,낚시하기,c
train_0048,train/train_0048.jpg,이 음식은 무엇인가요?,된장찌개,김치찌개,비빔밥,오코노미야끼,d
train_0049,train/train_0049.jpg,이 사진에서 볼 수 있는 자연 경관은 무엇인가요?,바다와 해변,숲,산,사막,a
train_0050,train/train_0050.jpg,이 음식은 무엇을 주 재료로 한 음식일까요?,피자와 소시지,햄버거와 감자튀김,감자튀김과 소시지,치킨과 감자튀김,c
train_0051,train/train_0051.jpg,이 사진에 보이는 나무는 무엇인가요?,은행나무,벚꽃나무,소나무,단풍나무,b
train_0052,train/train_0052.jpg,이 사진에서 볼 수 있는 자연 현상은 무엇인가요?,번개,안개,무지개,눈,c
train_0053,train/train_0053.jpg,이 사진에서 사람들이 모여 있는 장소는 어디일 가능성이 가장 높은가요?,스키장,해변가,박물관,벚꽃 축제,d
train_0054,train/train_0054.jpg,이 사진에서 차단된 이유로 가장 적절한 것은 무엇일까요?,행사 준비 중이라서,교통 사고가 나서,비가 많이 와서,도로 공사 중이어서,c
train_0055,train/train_0055.jpg,이 사진은 어디에서 찍힌 것일까요?,쇼핑몰,영화관,도서관,음식점,c
train_0056,train/train_0056.jpg,이 손목시계의 상태는 무엇인가요?,시계줄이 끊어졌다,배터리가 완전히 충전되어 있다,시간이 표시되고 있다,화면이 꺼져 있다,d
train_0057,train/train_0057.jpg,이미지 속 인형이 놓여진 장소는 어디일까요?,학교 운동장,놀이터,쇼핑몰 입구,쓰레기 버리는 장소,d
train_0058,train/train_0058.jpg,이 사진에 보이는 컴퓨터 주변기기는 무엇인가요?,모니터,프린터,키보드,마우스,c
train_0059,train/train_0059.jpg,이 사진에 보이는 음식은 무엇인가요?,불고기,김치찌개,초밥,회,d
train_0060,train/train_0060.jpg,이 사진 속 물건의 용도는 무엇일까요?,과일 깎는 칼,젓가락 받침,머리 마사지기,밥 주걱,d
train_0061,train/train_0061.jpg,이 사진에 보이는 눈 조각은 무엇을 닮았나요?,토끼,강아지,고양이,오리,d
train_0062,train/train_0062.jpg,이 그림에서 주로 사용된 색상은 무엇인가요?,단색의 파란색,밝고 다양한 원색,회색과 파스텔톤,검정색과 흰색,b
train_0063,train/train_0063.jpg,이 그림의 색상 변화는 무엇을 표현하고 있습니까?,형태가 뚜렷한 추상화,다양한 색상의 조화,밝음에서 어둠으로의 점진적인 변화,선명한 색 대비,c
train_0064,train/train_0064.jpg,이 동물 모양 조각상이 착용한 안경 렌즈에 표현된 색상은 무엇인가요?,"파란색, 노란색, 주황색","노란색, 검은색, 흰색","초록색, 흰색, 분홍색","빨간색, 흰색, 파란색",c
train_0065,train/train_0065.jpg,이 사진에서 볼 수 없는 것은 무엇인가요?,자동차,원숭이 인형,고양이 인형,오리 인형,c
train_0066,train/train_0066.jpg,이 사진에서 보이는 강과 도시의 풍경을 가장 잘 설명한 것은 무엇인가요?,강가 산책로와 고층 아파트가 보이는 도시 전경,바닷가의 해변과 리조트,산속의 작은 마을과 호수,시골 농장과 논밭 풍경,a
train_0067,train/train_0067.jpg,이 사진에서 사람들이 주로 무엇을 하고 있나요?,걷고 있다,달리고 있다,자전거를 타고 있다,낚시를 하고 있다,a
train_0068,train/train_0068.jpg,이 도로에서 흰색 기아차와 은색 현대차의 차종은 무엇인가요?,기아 EV6와 현대 쏘나타,기아 K5와 현대 아반떼,기아 모닝과 현대 싼타페,기아 스포티지와 현대 투싼,a
train_0069,train/train_0069.jpg,사진 속에 보이는 새는 무엇인가요?,까치,비둘기,오리,참새,a
train_0070,train/train_0070.jpg,이 사진에 보이는 조각상은 무엇을 표현한 것인가요?,상어,돌고래,거북이,고래,b
train_0071,train/train_0071.jpg,이 사진에서 고양이가 앉아 있는 장소는 어디인가요?,건물 옆 작은 계단,주차된 자동차 위,도로 한가운데,교차로 중앙,a
train_0072,train/train_0072.jpg,이 사진에서 보이는 다리 난간의 재질은 무엇일까요?,나무,대리석,철,콘크리트,b
train_0073,train/train_0073.jpg,이 사진은 어디에서 촬영된 것일까요?,고속도로 옆 휴게소에서 찍은 사진이다,버스 안에서 창밖을 찍은 사진이다,버스 정류장에서 찍은 사진이다,자동차 내부에서 거울을 찍은 사진이다,b
train_0074,train/train_0074.jpg,사진 속 야외 테이블과 의자가 위치한 곳은 어디인가요?,가정집 마당,학교 운동장,공원 벤치,카페 야외 테라스,d
train_0075,train/train_0075.jpg,이 사진에서 볼 수 있는 작업 현장의 주된 색상은 무엇인가요?,빨간색,노란색,초록색,파란색,b
train_0076,train/train_0076.jpg,이 사진에 보이는 사각형의 물체는 무엇일까요?,전기 박스,화분,쓰레기통,돌로 만든 벤치,d
train_0077,train/train_0077.jpg,이 사진에 보이는 꽃은 무엇인가요?,해바라기,장미,튤립,데이지,d
train_0078,train/train_0078.jpg,이 사진에서 보이는 나무는 주로 어떤 꽃이 피어 있나요?,벚꽃,해바라기,튤립,장미꽃,a
train_0079,train/train_0079.jpg,이 사진에 보이는 나무는 무엇인가요?,대나무,소나무,단풍나무,벚나무,d
train_0080,train/train_0080.jpg,이 캐릭터는 무엇인가요?,센과 치히로의 행방불명,미야자키 하야오,나루토,이웃집 토토로,d
train_0081,train/train_0081.jpg,사진 속 고양이가 누워있는 장소는 어디인가요?,공장이나 작업장 근처,카페,집 안,공원,a
train_0082,train/train_0082.jpg,이 사진에서 볼 수 없는 것은 무엇인가요?,나무,미끄럼틀,사람,눈사람,c
train_0083,train/train_0083.jpg,이 사진의 계절은 무엇일까요?,가을,겨울,여름,봄,b
train_0084,train/train_0084.jpg,이 사진에 보이는 큰 물고기의 종류는 무엇인가요?,돌고래,가오리,상어,고래,c
train_0085,train/train_0085.jpg,이 사진의 교차로에 걸려 있는 국기는 무엇인가요?,미국 국기,대한민국 국기,중국 국기,일본 국기,b
train_0086,train/train_0086.jpg,이 사진에서 보이는 풍경은 무엇인가요?,사막의 모래언덕,해변과 바다,도시의 고층 빌딩,산과 초원이 펼쳐진 자연 풍경,d
train_0087,train/train_0087.jpg,이 화이트보드에 적힌 추천 메뉴는 무엇인가요?,사시미 모듬,초밥,라멘,회덮밥,a
train_0088,train/train_0088.jpg,이 사진 속 요리는 무엇을 주재료로 하고 있나요?,새우,오징어,닭고기,소고기,a
train_0089,train/train_0089.jpg,이 사진에 보이는 병들 중 어떤 용도로 사용되는 제품인가요?,화장품 샘플,약물 치료제,음료수,향수나 에센셜 오일,d
train_0090,train/train_0090.jpg,사진 속 음료 중 아이스 라떼는 어느 것인가요?,두 음료 모두,왼쪽 음료,오른쪽 음료,음료가 없음,c
train_0091,train/train_0091.jpg,이 이미지에 보이는 음식의 주요 재료는 무엇인가요?,달걀 노른자와 파,치킨과 양파,김치와 두부,감자와 당근,a
train_0092,train/train_0092.jpg,이 사진에 등장하는 슈퍼히어로는 누구인가요?,토르,캡틴 아메리카,아이언맨,스파이더맨,c
train_0093,train/train_0093.jpg,이 이미지에서 주로 등장하는 동물은 무엇인가요?,새,토끼,고양이,강아지,d
train_0094,train/train_0094.jpg,이 사진에 보이는 음식은 무엇인가요?,김치찌개,비빔밥,회,불고기,c
train_0095,train/train_0095.jpg,사진 속 아이스크림 위에 올려진 것은 무엇인가요?,쿠키,과일 조각,아이스크림 콘,초콜릿 조각,c
train_0096,train/train_0096.jpg,이 사진에 보이는 조형물은 언제 촬영된 것일까요?,오후에 촬영되었다,밤에 촬영되었다,아침에 촬영되었다,낮에 촬영되었다,b
train_0097,train/train_0097.jpg,이 사진의 장소는 어디인가요?,롯데월드 타워,서울역,별마당 도서관,코엑스 아쿠아리움,c
train_0098,train/train_0098.jpg,이 음식의 주재료는 무엇인가요?,참치,장어,연어,광어,c
train_0099,train/train_0099.jpg,이 사진 속 공간은 주로 어떤 용도로 사용되는 곳인가요?,도서관,게임 체험 공간,영화관,음악 공연장,b
train_0100,train/train_0100.jpg,사진 속 강아지의 품종은 무엇일까요?,비글,포메라니안,푸들,닥스훈트,d
train_0101,train/train_0101.jpg,사진 속 강아지의 주요 색깔은 무엇인가요?,검은색과 갈색,갈색과 흰색,흰색과 회색,노란색과 흰색,a
train_0102,train/train_0102.jpg,사진 속 강아지가 입고 있는 옷의 색깔은 무엇인가요?,빨간색,노란색,분홍색,파란색,c
train_0103,train/train_0103.jpg,이 사진에서 보이는 길은 주로 어떤 용도로 사용될까요?,자전거 및 산책로,기차 선로,자동차 전용 도로,주차장,a
train_0104,train/train_0104.jpg,이 사진에서 볼 수 없는 것은 무엇인가요?,사람들이 많이 모여 있는 모습,계단식 물가,강가의 나무들,산과 하늘,a
train_0105,train/train_0105.jpg,이 사진에서 볼 수 있는 주요 경관은 무엇인가요?,논밭,꽃밭,차밭,과수원,c
train_0106,train/train_0106.jpg,이 사진의 주요 풍경은 무엇인가요?,바닷가 해변,도심의 고층 건물들,강과 산이 보이는 전경,사막과 모래언덕,c
train_0107,train/train_0107.jpg,이 사진에 보이는 길 양옆에 줄지어 있는 나무는 무엇인가요?,메타세쿼이아,은행나무,소나무,벚나무,a
train_0108,train/train_0108.jpg,이 사진이 찍힌 장소는 어디일까요?,운동장,자동차 전시장,도서관,음식점,b
train_0109,train/train_0109.jpg,이 사진에서 사람들이 주로 무엇을 하고 있나요?,운동하고 있다,영화를 보고 있다,공부하고 있다,식사하고 있다,d
train_0110,train/train_0110.jpg,이 사진에서 사람들이 주로 어디에서 시간을 보내고 있나요?,도시 거리,산,공원,해변,d
train_0111,train/train_0111.jpg,이 사진에서 볼 수 있는 장소는 어디인가요?,카페,도서관,바(Bar),영화관,c
train_0112,train/train_0112.jpg,이 사진은 어디에서 찍힌 모습일까요?,호수 위의 유람선,산 정상,공원 산책로,도시 거리,a
train_0113,train/train_0113.jpg,이 사진에 보이는 조각상 위에 올라가 있는 것은 무엇인가요?,사람,자동차,새,나무,c
train_0114,train/train_0114.jpg,이 사진에서 볼 수 있는 돌탑들의 주요 목적은 무엇인가요?,기념과 소원 성취를 위한 돌탑 쌓기,돌을 분류하기 위한 작업,예술 작품 전시를 위한 조형물,건축 자재로 사용하기 위한 돌 쌓기,a
train_0115,train/train_0115.jpg,이 음식은 무엇인가요?,라면,김밥,떡볶이,비빔밥,b
train_0116,train/train_0116.jpg,이 사진에서 주로 보이는 자연 현상은 무엇인가요?,구름,나무,강,산,a
train_0117,train/train_0117.jpg,이 사진에서 가장 눈에 띄는 나무의 잎 색깔은 무엇인가요?,노란색,빨간색,주황색,초록색,c
train_0118,train/train_0118.jpg,사진 속 인물이 손에 들고 있는 것은 무엇인가요?,분홍색 스틱형 아이스티 분말,스테인리스 머그컵,녹색 식물,나무 의자,a
train_0119,train/train_0119.jpg,이 이미지에 보이는 음료는 무엇인가요?,탄산음료,우유,주스,커피,d
train_0120,train/train_0120.jpg,고양이 옆에 있는 작은 회색 물체는 무엇인가요?,고양이 장난감 공,작은 생쥐 인형,리모컨,고양이 먹이,b
train_0121,train/train_0121.jpg,사진 속 음료의 빨대 색깔은 무엇인가요?,노란색,빨간색,초록색,파란색,b
train_0122,train/train_0122.jpg,이 사진에서 보이는 음식은 무엇인가요?,곱창구이,닭갈비,삼겹살,불고기,a
train_0123,train/train_0123.jpg,이 사진 속 음식은 무엇인가요?,돼지껍데기,갈비,양념 돼지갈비,삼겹살,c
train_0124,train/train_0124.jpg,이 사진에서 사람들이 굽고 있는 음식은 무엇인가요?,고구마,감자,옥수수,마시멜로,d
train_0125,train/train_0125.jpg,사진 속 인물이 들고 있는 음료는 무엇인가요?,스무디,아이스커피,아이스티,레몬에이드,b
train_0126,train/train_0126.jpg,이 사진에서 볼 수 있는 편의점 브랜드는 무엇인가요?,로손,패밀리마트,세븐일레븐,미니스톱,b
train_0127,train/train_0127.jpg,이 사진에서 물 위에 떠 있는 것은 무엇인가요?,종이배,촛불,접시,꽃,c
train_0128,train/train_0128.jpg,이 사진에서 볼 수 없는 물건은 무엇인가요?,마스크,컵라면,컴퓨터 마우스,스마트폰,d
train_0129,train/train_0129.jpg,이 사진에서 주차가 금지된 교통수단은 무엇인가요?,킥보드,자동차,자전거,오토바이,a
train_0130,train/train_0130.jpg,이 사진에 보이는 동물은 무엇인가요?,펠리컨,펭귄,갈매기,오리,b
train_0131,train/train_0131.jpg,이 사진에서 보여지는 음료는 무엇일까요?,주스,우유,커피,차,c
train_0132,train/train_0132.jpg,이 사진 속 건물에 있는 커피숍 이름은 무엇인가요?,빽다방,스타벅스,투썸플레이스,이디야 커피,d
train_0133,train/train_0133.jpg,이 사진에 보이는 조명등의 위치는 어디인가요?,나무 아래,잔디밭 중앙,보도블록 옆,돌담 위,b
train_0134,train/train_0134.jpg,이 사진에 보이는 구두 수선 가게의 위치는 어디인가요?,건물 옥상,길가 인도 한복판,차도 한가운데,공원 안,b
train_0135,train/train_0135.jpg,이 이미지에서 볼 수 있는 장치의 주된 용도는 무엇인가요?,물품을 보관하는 무인 보관함,자동 판매기,음식을 조리하는 전자레인지,인터넷 검색용 키오스크,a
train_0136,train/train_0136.jpg,이 사진 속 음식의 이름은 무엇인가요?,송편,떡볶이,호떡,만두,a
train_0137,train/train_0137.jpg,이 사진에 보이는 음식 중 한국 전통 음식은 무엇인가요?,치킨 너겟,김치,스팸,만두,b
train_0138,train/train_0138.jpg,사진 속 테이블 위에 있는 음식이 아닌 것은 무엇인가요?,와플과 아이스크림,아이스드 커피,피자,녹차 라떼,c
train_0139,train/train_0139.jpg,이 사진에서 차량 내부에 부착된 장치는 무엇인가요?,주차 센서,자동차 라디오,블랙박스,내비게이션,c
train_0140,train/train_0140.jpg,이 음식 중에서 생선회로 보이는 것은 무엇인가요?,된장찌개,김치전,양념 닭발,생선회,d
train_0141,train/train_0141.jpg,이 음식의 주 재료는 무엇인가요?,피자,스테이크,국수,치킨,d
train_0142,train/train_0142.jpg,이 음식은 무엇인가요?,구운 생선,스테이크,튀긴 치킨,비빔밥,a
train_0143,train/train_0143.jpg,이 사진에서 보이는 음식에 주로 올라가 있지 않은 것은 무엇인가요?,파,참깨,딸기,상추,c
train_0144,train/train_0144.jpg,사진 속 인물이 하고 있는 행동은 무엇인가요?,벽에 기대어 있다,무언가를 들여다보고 있다,휴대전화를 사용하고 있다,길을 건너고 있다,b
train_0145,train/train_0145.jpg,이 사진에 보이는 건물의 주요 특징은 무엇인가요?,높은 빌딩 숲 속의 마천루,현대적인 외관과 조명이 있는 건물,산속에 위치한 전원주택,전통 한옥 스타일의 건물,b
train_0146,train/train_0146.jpg,이 건물의 노란색 문 위에 적힌 글자는 무엇인가요?,HELLO,CLOSED,OPEN,WELCOME,a
train_0147,train/train_0147.jpg,이 사진에서 사람들이 들고 있는 것은 무엇인가요?,모자,책,우산,가방,c
train_0148,train/train_0148.jpg,이 사진은 주로 어느 장소에서 찍힌 것일까요?,커피숍 내부,학교 복도,병원 대기실,도서관,a
train_0149,train/train_0149.jpg,이 사진에서 하늘의 색깔은 무엇인가요?,파란색,초록색,빨간색,노란색,a
train_0150,train/train_0150.jpg,이 사진에서 볼 수 있는 것은 무엇인가요?,나뭇잎과 파란 하늘,도시의 빌딩,바다와 해변,산과 강,a
train_0151,train/train_0151.jpg,이 사진에 보이는 강 주변 경관에 대한 설명으로 옳은 것은 무엇인가요?,강변에 해변과 모래사장이 보인다.,"강 주변에 산들이 있고, 하천 옆에 건물이 있다.",도심의 고층빌딩이 강가를 따라 늘어서 있다.,강 주변에 사막과 모래언덕이 펼쳐져 있다.,b
train_0152,train/train_0152.jpg,이 사진에 보이는 전통 건축물의 지붕 장식으로 올바른 것은 무엇인가요?,호랑이 모양의 장식,학 모양의 장식,용 모양의 장식,물고기 모양의 장식,d
train_0153,train/train_0153.jpg,이 사진에서 보이는 스포츠 시설은 무엇인가요?,농구 골대,축구 골대,배구 네트,야구 홈플레이트,b
train_0154,train/train_0154.jpg,이 사진에서 하늘에 보이는 천체는 무엇인가요?,초승달,별,무지개,태양,a
train_0155,train/train_0155.jpg,이 사진에 보이는 타워는 어디에 위치한 것일까요?,대구,부산,광주,서울,d
train_0156,train/train_0156.jpg,이 사진에서 흰색 자동차가 주차된 위치는 어디인가요?,주차장 안,횡단보도 위,인도 위,차선 안,b
train_0157,train/train_0157.jpg,이 사진에서 보이는 파란색 기둥은 무엇을 방지하기 위한 것일까요?,쓰레기 투기 방지,도로 청소용 기둥,차량의 인도 진입 방지,자전거 주차 공간,c
train_0158,train/train_0158.jpg,이 사진에서 보이는 두 차량의 색상은 무엇인가요?,검정색과 흰색,파란색과 초록색,회색과 주황색,빨간색과 노란색,a
train_0159,train/train_0159.jpg,사진 속에 보이는 가구는 무엇으로 만들어졌나요?,금속,나무,플라스틱,유리,b
train_0160,train/train_0160.jpg,사진 속 원형 테이블 주변에 몇 개의 의자가 있나요?,4개,3개,2개,5개,a
train_0161,train/train_0161.jpg,사진 속 공간에서 볼 수 없는 것은 무엇인가요?,의자,컴퓨터,벽돌,책상,b
train_0162,train/train_0162.jpg,이 사진에서 책상 위에 보이지 않는 것은 무엇인가요?,모니터,책,키보드,노트북,b
train_0163,train/train_0163.jpg,사진 속 전기 설비에 붙어 있는 경고 문구는 무엇인가요?,"화재 위험, 불꽃 금지","낙뢰 주의, 피뢰침 설치","감전 주의, 절연 장갑 착용","고압 위험, 접근 금지",d
train_0164,train/train_0164.jpg,사진에서 사람들이 줄을 서서 기다리고 있는 곳은 무엇인가요?,약국,치과 의원,소고기 분식점,필라테스 센터,c
train_0165,train/train_0165.jpg,이 사진 속에서 보이는 도시의 특징이 아닌 것은 무엇인가요?,푸른 하늘과 구름이 보임,다양한 건물들이 조밀하게 모여 있음,산과 나무가 어우러진 자연 경관,높은 고층 빌딩들이 많이 있음,d
train_0166,train/train_0166.jpg,이곳은 어떤 장소로 보이나요?,전통 한옥 마을,야외 음악 공연장,동굴을 모티브로 한 관광지,현대 미술관 내부,c
train_0167,train/train_0167.jpg,이 사진에서 사람들이 모여 있는 장소는 무엇일까요?,일반 주택가,동굴형 테마파크,쇼핑몰 내부,공원 운동장,b
train_0168,train/train_0168.jpg,이 장소는 주로 어떤 용도로 사용되는 곳일까요?,주거지,박물관,테마파크,미술관,c
train_0169,train/train_0169.jpg,이 사진에 보이는 동물은 무엇인가요?,햄스터,고양이,토끼,강아지,d
train_0170,train/train_0170.jpg,사진 속 강아지가 물고 있는 것은 무엇일까요?,녹색 종이,강아지 장난감,신문지,음식 포장지,a
train_0171,train/train_0171.jpg,사진 속 고양이가 입고 있는 옷의 색상은 무엇인가요?,파란색과 흰색,노란색과 초록색,빨간색과 검은색,분홍색과 회색,c
train_0172,train/train_0172.jpg,사진 속 동물은 무엇인가요?,고양이,강아지,햄스터,토끼,a
train_0173,train/train_0173.jpg,이 이미지에서 보이는 초록색 식물은 무엇인가요?,케일,시금치,브로콜리,상추,c
train_0174,train/train_0174.jpg,사진 속 고양이의 주요 색상은 무엇인가요?,회색과 검은색,흰색과 주황색,검은색과 흰색,갈색과 흰색,b
train_0175,train/train_0175.jpg,사진 속에 보이는 대형 풍선 캐릭터는 무엇을 나타내고 있나요?,산타클로스,토끼,펭귄,곰돌이,a
train_0176,train/train_0176.jpg,이 음식의 주재료는 무엇인가요?,쌀국수 면,라면 면,우동 면,스파게티 면,c
train_0177,train/train_0177.jpg,이 사진에 보이는 음식은 무엇인가요?,김밥과 라면,치킨과 떡볶이,피자와 샐러드,불고기와 밥,b
train_0178,train/train_0178.jpg,사진 속 손톱에 그려진 무늬는 무엇인가요?,줄무늬,검은색 점 무늬,동물 무늬,꽃무늬,b
train_0179,train/train_0179.jpg,사진 속 강아지의 털 색깔은 무엇인가요?,노란색과 흰색,흰색과 갈색,검은색과 회색,갈색과 검은색,c
train_0180,train/train_0180.jpg,이 사진에서 보이는 트럭에 적힌 브랜드는 무엇인가요?,마운틴듀,코카콜라,닥터페퍼,펩시,d
train_0181,train/train_0181.jpg,이 사진에서 보이는 자동차의 색깔은 무엇인가요?,초록색,파란색,노란색,빨간색,d
train_0182,train/train_0182.jpg,이 교차로에 설치된 교통 표지판의 주요 목적은 무엇인가요?,차량이 반드시 멈추도록 안내한다,이 도로의 이름을 알려준다,버스 노선을 안내한다,횡단보도를 표시한다,a
train_0183,train/train_0183.jpg,이 거실에 놓여 있지 않은 가구는 무엇인가요?,소파,책상,스탠드 조명,커피 테이블,b
train_0184,train/train_0184.jpg,이 사진에 보이는 보석 중에서 가장 큰 크기의 반지는 어떤 색상의 보석을 가지고 있나요?,빨간색,초록색,하얀색,파란색,a
train_0185,train/train_0185.jpg,사진 속 고양이들은 어디에 앉아 있나요?,나무 바닥,회색 소파,파란색 쿠션,노란색 의자,d
train_0186,train/train_0186.jpg,이 사진에서 사람들이 방문한 장소는 어디일까요?,태국의 사원,일본의 신사,중국의 궁궐,한국의 전통 가옥,a
train_0187,train/train_0187.jpg,이 사진에 보이는 차잔과 받침 세트 중에서 가장 화려한 색상과 무늬를 가진 것은 어느 것인가요?,흰색과 금 테두리가 있는 차잔,분홍색과 꽃무늬가 있는 차잔,파란색과 금장식이 있는 차잔,투명한 유리잔,c
